zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
分潤細節篩選器,分润细节筛选器,Revenue Share Details Filter,,ตัวกรองรายละเอียดส่วนแบ่งรายได้,,8,フィルターの詳細を分割します,,7,필터의 세부 사항을 나눕니다,,9,Bộ sàng lọc chi tiết chia lãi,,15,agentProfitSharing.filterPopup.title
分潤,分润,Revenue Share,,ส่วนแบ่งรายได้,,2,分ける,,2,나누다,,2,Chia lãi,,4,agentProfitSharing.filterPopup.profitTitle
用戶,用户,User,,ผู้ใช้,,2,ユーザー,,2,사용자,,2,Người sử dụng,,4,"agentProfitSharing.filterPopup.userTitle,agentUserProfitSharingFormList.headerUser"
請選擇用戶,请选择用户,Please select a user.,,โปรดเลือกผู้ใช้,,5,ユーザーを選択してください,,5,사용자를 선택하십시오,,7,Vui lòng chọn người sử dụng,,11,agentProfitSharing.filterPopup.selectUserButtonHint
請選擇商品,请选择商品,Please select a product.,,กรุณาเลือกรายการ,,5,製品を選択してください,,5,제품을 선택하십시오,,7,Vui lòng chọn sản phẩm,,11,"agentProfitSharing.filterPopup.selectItemsButtonHint,agentTransactionSetting.filterItemsButtonHint"
優惠,优惠,Offer,,เสนอ,,2,割引,,2,할인,,2,Ưu đãi,,4,"agentProfitSharing.discountTitle,agentUserProfitSharingForm.filterPopup.discountTitle,agentOverview.discountTitle,agentUserProfitSharingFormList.headerDiscount,agentProfitList.typesDiscount,agentCondition.discountTitle"
工資,工资,Wage,,ค่าจ้าง,,2,給料,,2,샐러리,,2,Tiền công,,4,"agentProfitSharing.salaryTitle,agentOverview.salaryTitle,agentProfitList.typesSalary"
註冊時間,注册时间,Registration Date,,วันที่ลงทะเบียน,,4,登録時間,,4,등록 시간,,5,Thời gian đăng ký,,9,"agentProfitSharing.registrationTimeButton,agentUser.filterPopup.registrationTime,agentUser.registrationTimeButton"
下級用戶清單篩選,下级用户清单筛选,Basic User List Filter,,ตัวกรองรายการผู้ใช้พื้นฐาน,,9,サブユーザーリストスクリーニング,,8,서브 사용자 목록 심사,,11,Chọn lọc danh sách người sử dụng cấp dưới,,18,agentUser.filterPopup.title
請選擇推薦碼,请选择推荐码,Please select a referral code.,,โปรดเลือกโค้ดแนะนำ,,7,推奨コードを選択してください,,6,권장 코드를 선택하십시오,,8,Vui lòng chọn mã giới thiệu,,13,agentUser.filterPopup.selectRecommendedCode
下級用戶清單,下级用户清单,Basic User List,,รายชื่อผู้ใช้พื้นฐาน,,7,部下のリスト,,6,부하 직원 목록,,8,Danh sách người sử dụng cấp dưới,,13,agentUser.appBarTitle
暫無用戶資料,暂无用户资料,No user information available for the moment,,ไม่มีข้อมูลผู้ใช้ในขณะนี้,,7,ユーザー情報はありません,,6,사용자 정보가 없습니다,,8,Tạm thời không có thông tin người sử dụng,,13,"agentUser.emptyTip,agentUserProfitSharingForm.emptyTip,agentUserSearch.emptyTip"
交易品項,交易品项,Trading Items,,รายการซื้อขาย,,4,トランザクションアイテム,,4,거래 항목,,5,Hạng mục giao dịch,,9,agentFundingDetails.filterPopup.tradingProductTitle
請選擇交易品項,请选择交易品项,Please select a trading item.,,กรุณาเลือกรายการซื้อขาย,,8,トランザクションアイテムを選択してください,,7,거래 항목을 선택하십시오,,9,Vui lòng chọn hạng mục giao dịch,,15,agentFundingDetails.filterPopup.tradingProductButtonHint
請選擇交易方向,请选择交易方向,Please select a trading direction.,,โปรดเลือกทิศทางการซื้อขาย,,8,トランザクションの方向を選択してください,,7,거래 방향을 선택하십시오,,9,Vui lòng chọn phương hướng giao dịch,,15,agentFundingDetails.filterPopup.tradingDirectionButtonHint
請選擇槓桿設定,请选择杠杆设定,Please select leverage settings.,,โปรดเลือกการตั้งค่าเลเวอเรจ,,8,レバレッジ設定を選択してください,,7,레버리지 설정을 선택하십시오,,9,Vui lòng chọn thiết lập đòn bẩy,,15,agentFundingDetails.filterPopup.leverageSettingButtonHint
持倉篩選器,持仓筛选器,Position Filter,,ตัวกรองตำแหน่ง,,5,脚本家を持っています,,5,시나리오 작가 개최,,7,Bộ sàng lọc vị thế để ngỏ,,11,agentFundingDetails.filterPopup.positionPopupTitle
開倉篩選器,开仓筛选器,Open Position Filter,,เปิดตัวกรอง,,5,倉庫フィルターを開きます,,5,오픈 창고 필터,,7,Bộ sàng lọc mất một vị trí,,11,agentFundingDetails.filterPopup.openingPopupTitle
平倉篩選器,平仓筛选器,Closing Filter,,ปิดตัวกรอง,,5,倉庫スクリーニングデバイス,,5,창고 선별 장치,,7,Bộ sàng lọc vị thế thanh lý,,11,agentFundingDetails.filterPopup.closingPopupTitle
目前持倉,目前持仓,Current Open Position,,ตำแหน่งที่เปิดอยู่ในปัจจุบัน,,4,現在、ポジションを保持しています,,4,현재 위치를 보유하고 있습니다,,5,Vị thế để ngỏ hiện tại,,9,agentFundingDetails.currentPositionButton
總分潤,总分润,Total Revenue Share,,ส่วนแบ่งรายได้ทั้งหมด,,3,合計スコア,,3,총 점수,,4,Tổng lãi chia,,6,"agentUserProfitSharingForm.filterPopup.totalGruntTitle,agentOverview.totalGruntTitle,agentUserProfitSharingFormList.headerTotalGrunt"
用戶分潤篩選器,用户分润筛选器,User Revenue Share Filter,,ตัวกรองส่วนแบ่งรายได้ของผู้ใช้,,8,ユーザー分割スクリーニング,,7,사용자는 선별 선별를 분할합니다,,9,Bộ sàng lọc chia lãi cho người sử dụng,,15,agentUserProfitSharingForm.filterPopup.popupTitle
用戶分潤報表,用户分润报表,User Revenue Share Report,,รายงานส่วนแบ่งรายได้ของผู้ใช้,,7,ユーザー部門レポート,,6,사용자 부문 보고서,,8,Bảng báo cáo chia lãi cho người sử dụng,,13,"agentUserProfitSharingForm.appBarTitle,agentOverview.userPointsTitle"
請選擇品種,请选择品种,Please select a variety.,,กรุณาเลือกประเภท,,5,バラエティを選択してください,,5,다양성을 선택하십시오,,7,Vui lòng chọn loại sản phẩm,,11,agentTransactionSetting.filterVarietyButtonHint
未領取分潤,未领取分润,Unclaimed Revenue Share,,ไม่ได้รับเงินปันผล,,5,ポイントを受信して​​いません,,5,수신 포인트가 없습니다,,7,Chưa lĩnh nhận lãi chia,,11,agentOverview.unableReceiveGumTitle
取出分潤,取出分润,Take Out Revenue Share,,ถอนส่วนแบ่งรายได้,,4,テイクアウト,,4,테이크아웃,,5,Lĩnh lãi chia,,9,agentOverview.takeProfitButton
分潤概況,分润概况,Revenue Share Overview,,ภาพรวมส่วนแบ่งรายได้,,4,メーターの概要,,4,계량 개요,,5,Tình hình chia lãi,,9,agentOverview.summaryOverviewTitle
下級用戶專用,下级用户专用,Only for Basic User,,สำหรับผู้ใช้พื้นฐานเท่านั้น,,7,ユーザー専用の部下,,6,사용자에게 전념하는 부하 직원,,8,Người sử dụng cấp dưới chuyên dụng,,13,agentReferralCodeUsers.appBarTitle
提交申請中,提交申请中,Submitting Application,,กำลังยื่นคำขอ,,5,申請書の提出,,5,신청서 제출,,7,Đang gửi đăng ký,,11,withdrawBank.withdrawRequestSending
提交出金申請,提交出金申请,Submit Withdrawal Application,,ยื่นคำขอการถอนเงิน,,7,ゴールドアプリケーションを提出します,,6,금 신청서를 제출하십시오,,8,Gửi đăng ký xuất tiền,,13,withdrawBank.withdrawButton
"客戶出金所指定之帳號，必需是開戶時所指定之出金銀行帳號。
電子交易系統之線上出金申請時間為每個營業日上午8：00~14：00","客户出金所指定之帐号，必需是开户时所指定之出金银行帐号。
电子交易系统之线上出金申请时间为每个营业日上午8：00~14：00","The account number specified by the customer for withdrawal must be the account number of the withdrawal bank specified at the time of account opening. 
The online withdrawal application time of the electronic trading system is from 8:00 am to 14:00 am on each business day.",,"หมายเลขบัญชีที่ลูกค้าต้องการถอน จะต้องเป็นหมายเลขบัญชีธนาคารที่ระบุไว้ในตอนเปิดบัญชี
 เวลายื่นขอถอนเงินของระบบการซื้อขายทางออนไลน์ ตั้งแต่ 8.00 น. ถึง 14.00 น. ในแต่ละวันทำการ",,72,"顧客の預金によって指定された口座は、口座開設時に指定された銀行口座の口座でなければなりません。
電子取引システムのオンラインアプリケーション時間は8：00〜14:00です",,61,"고객의 예금으로 지정된 계정은 계정 개설 시점에 지정된 은행 계좌의 계정이어야합니다.
전자 거래 시스템의 온라인 신청 시간은 영업일 당 8 : 00 ~ 14:00입니다.",,85,"Số tài khoản xuất tiền do khách hàng chỉ định, nhất định phải là số tài khoản ngân hàng xuất tiền được chỉ định khi mở tài khoản.
 Thời gian đăng ký xuất tiền trực tuyến của hệ thống giao dịch điện tử là 8:00~14:00 vào mỗi ngày kinh doanh.",,137,withdrawBank.tipContent
出金申請完成,出金申请完成,Withdrawal Application Completed,,คำขอถอนเงินเสร็จสมบูรณ์,,7,完了するためのお金の申請,,6,완료 할 돈 신청,,8,Hoàn thành đăng ký xuất tiền,,13,withdrawBank.completeTitle
"審核預計會需要 3-5 個工作天。
通過後，您將會收到資金轉帳通知。","审核预计会需要 3-5 个工作天。
通过后，您将会收到资金转帐通知。","The review application is expected to take 3-5 working days. 
After approval, you will receive a notification of the fund transfer.",,"การตรวจสอบคาดว่าจะใช้เวลา 3-5 วันทำการ
 หลังจากได้รับอนุมัติแล้ว ท่านจะได้รับแจ้งการโอนเงิน",,36,"このレビューには、3〜5営業日が必要になると予想されています。
合格した後、資金移転通知を受け取ります。",,31,"이 검토는 3-5 일의 근무일이 필요할 것으로 예상됩니다.
통과 후, 당신은 자금 이체 통지를 받게됩니다.",,43,"Thẩm hạch dự tính cần 3-5 ngày làm việc.
 Sau khi thông qua, bạn sẽ nhận được thông báo chuyển khoản vốn.",,69,withdrawBank.completeContent
已完成申請,已完成申请,Application Completed,,ยื่นขอเสร็จสิ้น,,5,応用,,5,신청,,7,Đã hoàn thành đăng ký,,11,withdrawBank.completeButton
額度,额度,Limit,,วงเงิน,,2,クォータ,,2,몫,,2,Hạn ngạch,,4,withdrawBank.pricePrefix
出金帳戶設定,出金帐户设定,Withdrawal Account Settings,,การตั้งค่าบัญชีถอนเงิน,,7,ゴールドアカウント設定,,6,금 계정 설정,,8,Thiết lập tài khoản xuất tiền,,13,"accountPaymentManager.appBarTitle,bankAccountDetail.appBarTitle,accountManager.withdrawalAccountSettings"
"您目前沒有任何出金帳戶，請按下方或
右上角「+」按鈕新增後
進行審核。","您目前没有任何出金帐户，请按下方或
右上角“+”按钮新增后
进行审核。","You do not have any withdrawal account currently. Please click the ""+"" button below or the one in the upper right corner to add an account for review.",,,,38,"現在、ゴールドアカウントはありません。以下または
右上隅の「+」ボタンが追加された後
診る。",,33,"현재 금 계정이 없으며 아래 또는
오른쪽 상단의 ""+""버튼이 추가 된 후
조사하다.",,46,,,74,accountPaymentManager.emptyTip
新增出金帳戶,新增出金帐户,Add Withdrawal Account,,เพิ่มบัญชีถอนเงิน,,7,ゴールドアカウントを追加しました,,6,골드 계정이 추가되었습니다,,8,Thêm tài khoản xuất tiền,,13,accountPaymentManager.addBankAccount
可使用,可使用,Enable,,,,3,,,3,,,4,,,6,accountPaymentManager.statusSuccess
未過審,未过审,Not approved,,ไม่ผ่านการอนุมัติ,,3,試用過剰ではありません,,3,과도한 재판이 아닙니다,,4,Chưa thẩm hạch,,6,accountPaymentManager.statusFail
目前無出金方式，如要新增出金帳戶，請,目前无出金方式，如要新增出金帐户，请,"There is no withdrawal method currently. If you want to add a new withdrawal account, please",,ขณะนี้ยังไม่มีช่องทางการถอนเงิน หากคุณต้องการเพิ่มบัญชีถอนใหม่ โปรด,,21,現在、金の方法はありません。ゴールドアカウントを追加したい場合は、お願いします,,18,현재 금 방법이 없습니다. 금 계정을 추가하고 싶다면 제발주세요.,,25,"Hiện tại không có phương thức xuất tiền, nếu cần thêm tài khoản xuất tiền, vui long liên",,40,accountPaymentManager.paymentCategoryEmptyPopup.noPaymentTip
聯繫客服人員,联系客服人员,contact customer support,,ติดต่อฝ่ายบริการลูกค้า,,7,カスタマーサービススタッフに連絡してください,,6,고객 서비스 직원에게 문의하십시오,,8,hệ với nhân viên Dịch vụ Khách hàng,,13,accountPaymentManager.paymentCategoryEmptyPopup.contactCustomerService
繁體中文,繁体中文,繁體中文,,,,4,繁體中文,,4,繁體中文,,5,,,9,languageSetting.localeZhTw
簡體中文,简体中文,簡體中文,,,,4,簡體中文,,4,簡體中文,,5,,,9,languageSetting.localeZhCn
中文,中文,中文,,,,2,中文,,2,中文,,2,,,4,languageSetting.localeZh
English,English,English,,,,8,English,,7,English,,9,,,15,languageSetting.localeEn
日本語,日本语,日本語,,,,3,日本語,,3,日本語,,4,,,6,languageSetting.localeJp
한국어,한국어,한국어,,,,3,한국어,,3,한국어,,4,,,6,languageSetting.localeKr
ไทย,ไทย,ไทย,,,,3,ไทย,,3,ไทย,,4,,,6,languageSetting.localeTh
Tiếng Việt,Tiếng Việt,Tiếng Việt,,,,10,Tiếng Việt,,9,Tiếng Việt,,12,,,20,languageSetting.localeVi
升跌顏色,升跌颜色,Colors of Up and Down,,สีของการขึ้นและลง,,4,浮き沈み,,4,기복,,5,Màu tăng giảm,,9,upDownColorSetting.appBarTitle
線路 {index},,Line {index},,,,2 + ?,,,2 + ?,,,2 + ?,,,4 + ?,serverLineSetting.linePrefix
輸入推薦碼,输入推荐码,Enter Referral Code,,กรอกโค้ดแนะนำ,,5,推奨コードを入力します,,5,추천 코드를 입력하십시오,,7,Nhập mã giới thiệu,,11,referralCodeBind.appBarTitle
請輸入推薦碼,请输入推荐码,Please enter a referral code.,,กรุณากรอกโค้ดแนะนำ,,7,推奨コードを入力してください,,6,추천 코드를 입력하십시오,,8,Vui lòng nhập mã giới thiệu,,13,referralCodeBind.inputHint
"推薦碼將會影響您的帳號獎勵
以及交易費用的相關折扣。
輸入後將無法更改，請確認代
理或朋友提供給您的推薦碼是
否正確再輸入。","推荐码将会影响您的帐号奖励
以及交易费用的相关折扣。
输入后将无法更改，请确认代
理或朋友提供给您的推荐码是
否正确再输入。","The referral code will affect your account rewards and related discounts on transaction fees. It cannot be changed after entering, so please enter it after confirming whether the referral code provided to you by an agent or friend is correct. ",,"โค้ดแนะนำจะส่งผลต่อรางวัลในบัญชีของคุณ
 และส่วนลดค่าธรรมเนียมอื่นๆที่เกี่ยวข้อง
 เมื่อป้อนแล้วจะไม่สามารถเปลี่ยนแปลงได้ โปรดทำการตรวจสอบโค้ดแนะนำ
 ที่ตัวแทนหรือเพื่อนของคุณให้คุณนั้นถูกต้อง",,68,"推奨コードは、アカウントの報酬に影響します
取引コストの関連する割引。
入力後に変更されません。世代を確認してください
理由または友人によって提供される推奨コードは
正しく入力するかどうか。",,58,"추천 코드는 귀하의 계정 보상에 영향을 미칩니다
거래 비용의 관련 할인.
입력 후에 변경되지 않습니다. 생성을 확인하십시오.
이유 또는 친구가 제공하는 추천 코드는
올바르게 입력할지 여부.",,81,"Mã giới thiệu sẽ ảnh hưởng thưởng khuyến khích số tài khoản của bạn
 và chiết khấu liên quan của phí giao dịch.
 Sau khi nhập, sẽ không thể sửa đổi, vui lòng xác nhận Đại lý
 hoặc bạn bè cung cấp mã giới thiệu cho bạn
 có chính xác hay không, sau đó nhập vào.",,130,referralCodeBind.descriptionText
撤銷,撤销,Cancel,,ยกเลิก,,2,取り消す,,2,취소,,2,Hủy,,4,"orders.cancelButton,orderDetail.cancelButton"
確定撤單?,确定撤单?,Are you sure you want to cancel the order?,,คุณแน่ใจหรือไม่ว่าต้องการยกเลิกคำสั่งซื้อ,,5,撤退を決定しますか？,,5,철수를 결정 하시겠습니까?,,7,Chắc chắn hủy Đơn?,,11,orders.cancelConfirm
掛單價,挂单价,Order Price,,ราคาสั่งซื้อ,,3,ハンギングユニット価格,,3,교수형 단가,,4,Giá Đơn treo,,6,"orders.orderPrice,cancelOrderConfirmPopup.orderPrice"
取消掛單成功,取消挂单成功,Order cancelled successfully,,ยกเลิกคำสั่งซื้อเรียบร้อยแล้ว,,7,正常にキャンセルします,,6,성공적으로 취소하십시오,,8,Hủy bỏ Đơn treo thành công,,13,"orders.cancelOrderSuccess,orderDetail.cancelOrderSuccess"
刪除推薦碼,删除推荐码,Delete Referral Code,,ลบโค้ดแนะนำ,,5,推奨コードを削除します,,5,권장 코드를 삭제합니다,,7,Xóa bỏ mã giới thiệu,,11,agentReferralCodeList.descriptionPopup.deleteTitle
"刪除該推薦碼，將會導致已經發出去的連結可能會失效。
已使用該推薦碼註冊的用戶則不會受到影響。

確定要刪除推薦碼嗎？","删除该推荐码，将会导致已经发出去的连结可能会失效。
已使用该推荐码注册的用户则不会受到影响。

确定要删除推荐码吗？","Deleting the referral code will cause the link that has been sent out to be invalid. 
Users who have registered with the referral code will not be affected. 

Are you sure you want to delete the referral code?",,"การลบโค้ดแนะนำจะทำให้ลิงก์ที่ส่งออกไปไม่ถูกต้อง
 ผู้ใช้ที่เคยลงทะเบียนด้วยโค้ดแนะนำที่ถูกลบจะไม่ได้รับผลกระทบ
 คุณแน่ใจว่าต้องการลบโค้ดแนะนำหรือไม่",,64,"この推奨コードを削除すると、送信された接続が失敗する可能性があります。
この推奨コードを登録したユーザーは影響を受けません。

推奨コードを削除したいですか？",,55,"이 권장 코드를 삭제하면 전송 된 연결이 실패 할 수 있습니다.
이 추천 코드를 등록한 사용자는 영향을받지 않습니다.

권장 코드를 삭제 하시겠습니까?",,77,"Xóa bỏ mã giới thiệu này, sẽ khiến cho liên kết đã phát ra có thể sẽ mất hiệu lực.
 Người sử dụng đã sử dụng mã giới thiệu này để đăng ký, thì sẽ không bị ảnh hưởng.
 

 Có chắc chắn muốn xóa bỏ mã giới thiệu không?",,123,agentReferralCodeList.descriptionPopup.contentText
註冊,注册,Register,,ลงทะเบียน,,2,登録,,2,등록하다,,2,Đăng ký,,4,"agentReferralCodeList.registerTitle,signUp.registerButton,signUpNavigation.registerButton"
開戶,开户,Open an Account,,เปิดบัญชี,,2,アカウントを開きます,,2,계정을 엽니 다,,2,Mở tài khoản,,4,agentReferralCodeList.openAccountTitle
已複製推薦碼連結,已复制推荐码连结,Referral Link Cpied,,คัดลอกลิงค์ของโค้ดแนะนำแล้ว,,9,コピーするための推奨コード接続,,8,복사를위한 권장 코드 연결,,11,Đã copy liên kết mã giới thiệu,,18,agentReferralCodeList.recommendedCodeLinkToast
交易日期,交易日期,Trade Date,,วันที่ซื้อขาย,,4,取引日,,4,거래 날짜,,5,Ngày giao dịch,,9,orderDetail.createDate
"委託異動, 請重新進入","委托异动, 请重新进入",Your order changed. Please re-enter.,,คำสั่งซื้อของคุณมีการเปลี่ยนแปลง กรุณาเข้าใหม่,,10,さまざまな動きを委ねてください,,9,다른 움직임을 맡기십시오. 다시 참가하십시오,,12,"Ủy quyền thay đổi, vui lòng vào lại",,20,orderDetail.orderChanged
撤銷掛單,撤销挂单,Cancel pending order,,,,4,,,4,,,5,,,9,cancelOrderConfirmPopup.title
掛單時間,挂单时间,Creation Time,,,,4,,,4,,,5,,,9,cancelOrderConfirmPopup.orderTime
確定撤銷,确定撤销,Confirm,,,,4,,,4,,,5,,,9,cancelOrderConfirmPopup.confirm
{unit}的{name}價格,{unit}的{name}价格,{name} Price of {unit},,{name} ราคาสำหรับ {unit},,2 + ?,{name} {unit}の価格,,2 + ?,{name} {unit}의 가격,,2 + ?,Giá cả {name} của {unit},,4 + ?,futuresContract.title
週數,周数,Weeks,,สัปดาห์,,2,毎週の番号,,2,주간 번호,,2,Số tuần,,4,futuresContract.tradeTimeWeekend
{start} - 隔日{end},{start} - 隔日{end},{start}-The next day {end},,{start} - วันถัดไป{end},,0 + ?,{start}  - 翌日{end},,0 + ?,{start} -다음 날 {end},,0 + ?,{start} – Ngày hôm sau {end},,0 + ?,futuresContract.tradeTimeIntervalOutDay
{start} - {end},{start} - {end},{start} - {end},,{เริ่มต้น} - {สิ้นสุด},,0 + ?,{start} - {end},,0 + ?,{start} - {end},,0 + ?,{start} - {end},,0 + ?,futuresContract.tradeTimeIntervalSameDay
單筆交易數量,单笔交易数量,Volume Per Trade,,จำนวนรายการเดียว,,7,単一のトランザクションの数,,6,단일 거래 수,,8,Số lượng giao dịch của một giao dịch đơn,,13,futuresContract.transactionLotsTitle
{min}-{max} {unit},{min}-{max} {unit},{min}-{max} {unit},,{min}-{max} {unit},,0 + ?,{min}  -  {max} {unit},,0 + ?,{min}-{max} {unit},,0 + ?,{min}-{max} {unit},,0 + ?,futuresContract.transactionLotsValue
當前槓桿,当前杠杆,Current Leverage,,เลเวอเรจปัจจุบัน,,4,現在のレバレッジ,,4,현재 레버리지,,5,Đòn bẩy hiện tại,,9,futuresContract.currentLever
下單可調節,下单可调节,Orders are adjustable.,,สามารถปรับเปลี่ยนคำสั่งซื้อได้,,5,注文を調整します,,5,순서를 조정하십시오,,7,Chốt Đơn có thể điều tiết,,11,futuresContract.currentLeverValueTip
契約規模,契约规模,Contract Size,,ขนาดสัญญา,,4,契約サイズ,,4,계약 규모,,5,Quy mô Hợp đồng,,9,futuresContract.contractSize
最大總持倉數量,最大总持仓数量,Maximum Open Position,,ตำแหน่งเปิดสูงสุด,,8,位置の最大総保持,,7,최대 총 포지션 보유,,9,Tổng số lượng vị thế để ngõ tối đa,,15,futuresContract.maxPositionTitle
收取時間,收取时间,Collection Time,,เวลารวบรวม,,4,充電時間,,4,충전 시간,,5,Thời gian nhận,,9,futuresContract.rolloverTime
當前時段,当前时段,Current Session,,งวดปัจจุบัน,,4,当期,,4,현재 기간,,5,Thời điểm hiện tại,,9,futuresContract.transactionTimeCurrent
下個時段,下个时段,Next Session,,งวดหน้า,,4,次の時間,,4,다음번,,5,Thời điểm tiếp theo,,9,futuresContract.transactionTimeNext
查看更多時段,查看更多时段,View more session,,ดูช่วงเวลาเพิ่มเติม,,7,より多くの期間を表示します,,6,더 많은 시간을보십시오,,8,Tra cứu thêm nhiều thời điểm,,13,futuresContract.viewAllTransactionTime
"(匯率波動較大時, 將會進行調整)","(汇率波动较大时, 将会进行调整)",(Adjustments will be made with greater fluctuations in exchange rates. ),,(การปรับจะกระทำโดยมีความผันผวนมากขึ้นในอัตราแลกเปลี่ยน ),,17,（為替レートが大きくなると、調整されます）,,15,(환율 변동이 커지면 조정됩니다),,21,"(Khi tỷ giá hối đoái thay đổi lớn hơn, sẽ tiến hành điều chỉnh)",,33,futuresContract.exchangeRateTip
折疊,折叠,Fold,,พับ,,2,折り畳み,,2,겹,,2,Gấp chồng,,4,futuresContract.tableValueFold
無限制,无限制,Unrestricted,,,,3,,,3,,,4,,,6,futuresContract.noLimit
您確定要放棄修改嗎？,您确定要放弃修改吗？,Are you sure you want to abandon the modification?,,คุณแน่ใจหรือไม่ว่าต้องการยกเลิกการแก้ไข,,11,変更するためにあきらめたいですか？,,10,수정하기 위해 포기하고 싶습니까?,,14,Bạn có chắc chắn muốn từ bỏ sửa đổi không?,,22,"orderModify.cancelModify,positionModify.cancelModify,chartBollSetting.cancelModify,chartKdjSetting.cancelModify,chartMacdSetting.cancelModify,chartMaSetting.cancelModify,chartRsiSetting.cancelModify,chartWrSetting.cancelModify"
設置止損價格,设置止损价格,Set stop-loss price,,ตั้งราคาstop-loss,,7,停止損失価格を設定します,,6,정지 손실 가격을 설정하십시오,,8,Thiết lập giá cả chốt lỗ,,13,"orderModify.stopLossSubtitle,positionModify.stopLossSubtitle"
設置止盈價格,设置止盈价格,Set take-profit price,,ตั้งราคาtake-profit,,7,利益価格を設定します,,6,이익 가격을 설정하십시오,,8,Thiết lập giá cả chốt lãi,,13,"orderModify.stopProfitSubtitle,positionModify.stopProfitSubtitle"
修改掛單,修改挂单,Modify Order,,แก้ไขคำสั่งซื้อ,,4,ハンギングオーダーを変更します,,4,교수형 순서를 수정하십시오,,5,Sửa đổi Đơn treo,,9,orderModify.appBarTitle
請輸入您的掛單價格,请输入您的挂单价格,Please enter your order price.,,กรุณาใส่ราคาสั่งซื้อของคุณ,,10,ハンギングオーダー価格を入力してください,,9,매달린 주문 가격을 입력하십시오,,12,Vui lòng nhập giá cả Đơn treo của bạn,,20,orderModify.accountOrderInputHint
掛單價格須在限制範圍內,挂单价格须在限制范围内,The pending order price must be within the limit.,,ราคาคำสั่งซื้อที่รอดำเนินการต้องอยู่ภายในขีดจำกัด,,12,,,11,,,15,Giá cả Đơn treo phải trong phạm vi giới hạn,,24,orderModify.errorLimitPriceOutRange
調整保證金,调整保证金,Adjust Margin,,ปรับMargin,,5,セキュリティデポジットを調整します,,5,보증금을 조정하십시오,,7,Điều chỉnh tiền bảo lãnh,,11,"adjustmentMarginDescriptionPopup.title,positionModify.adjustMargin"
我知道了,我知道了,I got it.,,ฉันเข้าใจแล้ว,,4,そうですか,,4,내가 참조,,5,Tôi đã biết,,9,"adjustmentMarginDescriptionPopup.button,receiveAwardPopup.know"
您可為該持倉追加保證金,您可为该持仓追加保证金,You can increase the margin on this open position.,,,,12,この位置のマージンを増やすか、削減できます,,11,이 위치의 마진을 늘리거나 줄일 수 있습니다,,15,,,24,adjustmentMarginDescriptionPopup.content1
追加保證金，將獲得更安全的,追加保证金，将获得更安全的,"If you increase the margin, you will get safer",,,,15,マージンの増加はより安全になります,,13,마진이 증가하면 더욱 안전해질 것입니다,,18,,,29,adjustmentMarginDescriptionPopup.content2
"提醒：
調整保證金，僅改變持倉風險，不影響訂單交易總額和訂單盈虧。","提醒：
调整保证金，仅改变持仓风险，不影响订单交易总额和订单盈亏。",Reminder: adjustment to margin only changes position risk but does not affect the total amount of transaction orders and the profit or loss of orders.,,คำเตือน: การปรับมาร์จิ้นจะเปลี่ยนเฉพาะความเสี่ยงของสถานะ แต่ไม่ส่งผลต่อยอดรวมของคำสั่งธุรกรรมและกำไรหรือขาดทุนของคำสั่งซื้อ,,37,"思い出させる：
預金を調整すると、ポジションのリスクのみが変化し、注文総取引と注文の損失に影響しません。",,32,"상기시키다:
예금 조정은 직책의 위험 만 변경되며 총 주문 거래 및 주문의 손실에 영향을 미치지 않습니다.",,44,"Xin nhắc:
 Điều chỉnh tiền bảo lãnh, chỉ thay đổi rủi ro vị thế để ngỏ, không ảnh hưởng tổng số tiền giao dịch của Đơn đặt hàng và lãi lỗ của Đơn đặt hàng.",,72,adjustmentMarginDescriptionPopup.tip
輸入分潤細節搜尋條件,输入分润细节搜寻条件,Enter search criteria for revenue share details,,ป้อนเกณฑ์การค้นหารายละเอียดการแบ่งปันผลกำไร,,11,保湿の詳細の検索条件の入力部門,,10,보습 세부 사항 검색 조건의 입력 부서,,14,Nhập điều kiện tìm kiếm chi tiết chia lãi,,22,agentProfitSharingSearch.enterDetailSearchHint
請輸入搜尋條件,请输入搜寻条件,Please enter search criteria.,,กรุณากรอกเงื่อนไขการค้นหา,,8,検索条件を入力してください,,7,검색 조건을 입력하십시오,,9,Vui lòng nhập điều kiện tìm kiếm,,15,"agentProfitSharingSearch.pleaseEnterSearchHint,agentUserSearch.pleaseEnterSearchHint,agentReferralCodeSearch.pleaseEnterSearchHint,agentTransactionSettingSearch.pleaseEnterSearchHint,agentFundingDetailsSearch.pleaseEnterSearchHint"
輸入下級用戶清單搜尋條件,输入下级用户清单搜寻条件,Enter search criteria for basic user list,,ป้อนเกณฑ์การค้นหาสำหรับรายชื่อผู้ใช้พื้นฐาน,,14,部下のユーザーリストの検索条件を入力します,,12,부하 직원 사용자 목록의 검색 조건을 입력하십시오,,16,Nhập điều kiện tìm kiếm danh sách người sử dụng cấp dưới,,27,agentUserSearch.enterDetailSearchHint
搜尋結果,搜寻结果,Search Results,,ผลการค้นหา,,4,の検索結果,,4,검색 결과,,5,Kết quả tìm kiếm,,9,agentUserSearch.searchResultsTitle
