zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
出金帳戶設定,出金帐户设定,Withdrawal Account Settings,,การตั้งค่าบัญชีทองคำ,,7,ゴールドアカウント設定,,6,금 계정 설정,,8,Cài đặt tài khoản vàng,,13,"accountPaymentManager.appBarTitle,bankAccountDetail.appBarTitle,accountManager.withdrawalAccountSettings"
"您目前沒有任何出金帳戶，請按下方或
右上角「+」按鈕新增後
進行審核。","您目前没有任何出金帐户，请按下方或
右上角“+”按钮新增后
进行审核。","You do not have any withdrawal account currently. Please click the ""+"" button below or the one in the upper right corner to add an account for review.",,"คุณไม่มีบัญชีทองคำในปัจจุบันโปรดด้านล่างหรือ
หลังจากเพิ่มปุ่ม ""+"" ที่มุมขวาบน
พิจารณา.",,38,"現在、ゴールドアカウントはありません。以下または
右上隅の「+」ボタンが追加された後
診る。",,33,"현재 금 계정이 없으며 아래 또는
오른쪽 상단의 ""+""버튼이 추가 된 후
조사하다.",,46,"Hiện tại bạn không có tài khoản vàng nào, xin vui lòng bên dưới hoặc
Sau khi nút ""+"" ở góc trên bên phải được thêm
Nghiên cứu.",,74,accountPaymentManager.emptyTip
新增出金帳戶,新增出金帐户,Add Withdrawal Account,,เพิ่มบัญชีทองคำ,,7,ゴールドアカウントを追加しました,,6,골드 계정이 추가되었습니다,,8,Đã thêm tài khoản vàng,,13,accountPaymentManager.addBankAccount
可使用,可使用,Enable,,,,3,,,3,,,4,,,6,accountPaymentManager.statusSuccess
未過審,未过审,Not approved,,ไม่เกินการทดลอง,,3,試用過剰ではありません,,3,과도한 재판이 아닙니다,,4,Không quá thử,,6,accountPaymentManager.statusFail
目前無出金方式，如要新增出金帳戶，請,目前无出金方式，如要新增出金帐户，请,"There is no withdrawal method currently. If you want to add a new withdrawal account, please",,ขณะนี้ไม่มีวิธีทองคำ หากคุณต้องการเพิ่มบัญชีทองคำโปรด,,21,現在、金の方法はありません。ゴールドアカウントを追加したい場合は、お願いします,,18,현재 금 방법이 없습니다. 금 계정을 추가하고 싶다면 제발주세요.,,25,"Hiện tại không có phương pháp vàng. Nếu bạn muốn thêm một tài khoản vàng, xin vui lòng",,40,accountPaymentManager.paymentCategoryEmptyPopup.noPaymentTip
聯繫客服人員,联系客服人员,contact customer support,,ติดต่อเจ้าหน้าที่บริการลูกค้า,,7,カスタマーサービススタッフに連絡してください,,6,고객 서비스 직원에게 문의하십시오,,8,Liên hệ với nhân viên dịch vụ khách hàng,,13,accountPaymentManager.paymentCategoryEmptyPopup.contactCustomerService
繁體中文,繁体中文,繁體中文,,繁體中文,,4,繁體中文,,4,繁體中文,,5,繁體中文,,9,languageSetting.localeZhTw
簡體中文,简体中文,簡體中文,,簡體中文,,4,簡體中文,,4,簡體中文,,5,簡體中文,,9,languageSetting.localeZhCn
中文,中文,中文,,中文,,2,中文,,2,中文,,2,中文,,4,languageSetting.localeZh
English,English,English,,English,,8,English,,7,English,,9,English,,15,languageSetting.localeEn
日本語,日本语,日本語,,日本語,,3,日本語,,3,日本語,,4,日本語,,6,languageSetting.localeJp
한국어,한국어,한국어,,한국어,,3,한국어,,3,한국어,,4,한국어,,6,languageSetting.localeKr
ไทย,ไทย,ไทย,,ไทย,,3,ไทย,,3,ไทย,,4,ไทย,,6,languageSetting.localeTh
Tiếng Việt,Tiếng Việt,Tiếng Việt,,Tiếng Việt,,10,Tiếng Việt,,9,Tiếng Việt,,12,Tiếng Việt,,20,languageSetting.localeVi
升跌顏色,升跌颜色,Colors of Up and Down,,ขึ้นและลง,,4,浮き沈み,,4,기복,,5,Thăng trầm,,9,upDownColorSetting.appBarTitle
線路 {index},,Line {index},,,,2 + ?,,,2 + ?,,,2 + ?,,,4 + ?,serverLineSetting.linePrefix
輸入推薦碼,输入推荐码,Enter Referral Code,,ป้อนรหัสคำแนะนำ,,5,推奨コードを入力します,,5,추천 코드를 입력하십시오,,7,Nhập mã đề xuất,,11,referralCodeBind.appBarTitle
請輸入推薦碼,请输入推荐码,Please enter a referral code.,,กรุณากรอกรหัสคำแนะนำ,,7,推奨コードを入力してください,,6,추천 코드를 입력하십시오,,8,Vui lòng nhập mã đề xuất,,13,referralCodeBind.inputHint
"推薦碼將會影響您的帳號獎勵
以及交易費用的相關折扣。
輸入後將無法更改，請確認代
理或朋友提供給您的推薦碼是
否正確再輸入。","推荐码将会影响您的帐号奖励
以及交易费用的相关折扣。
输入后将无法更改，请确认代
理或朋友提供给您的推荐码是
否正确再输入。","The referral code will affect your account rewards and related discounts on transaction fees. It cannot be changed after entering, so please enter it after confirming whether the referral code provided to you by an agent or friend is correct. ",,"รหัสคำแนะนำจะส่งผลต่อรางวัลบัญชีของคุณ
และส่วนลดที่เกี่ยวข้องของค่าใช้จ่ายในการทำธุรกรรม
มันจะไม่เปลี่ยนแปลงหลังจากอินพุตโปรดยืนยันการสร้าง
รหัสคำแนะนำที่ได้รับจากเหตุผลหรือเพื่อนคือ
ไม่ว่าจะป้อนอย่างถูกต้อง",,68,"推奨コードは、アカウントの報酬に影響します
取引コストの関連する割引。
入力後に変更されません。世代を確認してください
理由または友人によって提供される推奨コードは
正しく入力するかどうか。",,58,"추천 코드는 귀하의 계정 보상에 영향을 미칩니다
거래 비용의 관련 할인.
입력 후에 변경되지 않습니다. 생성을 확인하십시오.
이유 또는 친구가 제공하는 추천 코드는
올바르게 입력할지 여부.",,81,"Mã đề xuất sẽ ảnh hưởng đến phần thưởng tài khoản của bạn
Và giảm giá liên quan của chi phí giao dịch.
Nó sẽ không được thay đổi sau khi đầu vào, vui lòng xác nhận thế hệ
Mã khuyến nghị được cung cấp bởi lý do hoặc một người bạn là
Có nên nhập chính xác không.",,130,referralCodeBind.descriptionText
撤銷,撤销,Cancel,,ถอน,,2,取り消す,,2,취소,,2,Thu hồi,,4,"orders.cancelButton,orderDetail.cancelButton"
確定撤單?,确定撤单?,Are you sure you want to cancel the order?,,กำหนดการถอน?,,5,撤退を決定しますか？,,5,철수를 결정 하시겠습니까?,,7,Xác định việc rút tiền?,,11,orders.cancelConfirm
掛單價,挂单价,Order Price,,ราคาหน่วยแขวน,,3,ハンギングユニット価格,,3,교수형 단가,,4,Đơn giá treo,,6,"orders.orderPrice,cancelOrderConfirmPopup.orderPrice"
取消掛單成功,取消挂单成功,Order cancelled successfully,,ยกเลิกได้สำเร็จ,,7,正常にキャンセルします,,6,성공적으로 취소하십시오,,8,Hủy bỏ thành công,,13,"orders.cancelOrderSuccess,orderDetail.cancelOrderSuccess"
刪除推薦碼,删除推荐码,Delete Referral Code,,ลบรหัสคำแนะนำ,,5,推奨コードを削除します,,5,권장 코드를 삭제합니다,,7,Xóa mã khuyến nghị,,11,agentReferralCodeList.descriptionPopup.deleteTitle
"刪除該推薦碼，將會導致已經發出去的連結可能會失效。
已使用該推薦碼註冊的用戶則不會受到影響。

確定要刪除推薦碼嗎？","删除该推荐码，将会导致已经发出去的连结可能会失效。
已使用该推荐码注册的用户则不会受到影响。

确定要删除推荐码吗？","Deleting the referral code will cause the link that has been sent out to be invalid. 
Users who have registered with the referral code will not be affected. 

Are you sure you want to delete the referral code?",,"การลบรหัสที่แนะนำนี้จะทำให้การเชื่อมต่อที่ส่งออกอาจล้มเหลว
ผู้ใช้ที่ลงทะเบียนรหัสคำแนะนำนี้จะไม่ได้รับผลกระทบ

แน่ใจหรือว่าต้องการลบรหัสคำแนะนำ?",,64,"この推奨コードを削除すると、送信された接続が失敗する可能性があります。
この推奨コードを登録したユーザーは影響を受けません。

推奨コードを削除したいですか？",,55,"이 권장 코드를 삭제하면 전송 된 연결이 실패 할 수 있습니다.
이 추천 코드를 등록한 사용자는 영향을받지 않습니다.

권장 코드를 삭제 하시겠습니까?",,77,"Việc xóa mã được đề xuất này sẽ khiến kết nối đã được gửi ra có thể thất bại.
Người dùng đã đăng ký mã khuyến nghị này sẽ không bị ảnh hưởng.

Bạn có chắc là bạn muốn xóa mã khuyến nghị?",,123,agentReferralCodeList.descriptionPopup.contentText
註冊,注册,Register,,ลงทะเบียน,,2,登録,,2,등록하다,,2,Đăng ký,,4,"agentReferralCodeList.registerTitle,signUp.registerButton,signUpNavigation.registerButton"
開戶,开户,Open an Account,,เปิดบัญชี,,2,アカウントを開きます,,2,계정을 엽니 다,,2,Mở một tài khoản,,4,agentReferralCodeList.openAccountTitle
已複製推薦碼連結,已复制推荐码连结,Referral Link Cpied,,การเชื่อมต่อรหัสที่แนะนำสำหรับการคัดลอก,,9,コピーするための推奨コード接続,,8,복사를위한 권장 코드 연결,,11,Kết nối mã được đề xuất để sao chép,,18,agentReferralCodeList.recommendedCodeLinkToast
交易日期,交易日期,Trade Date,,วันที่ทำธุรกรรม,,4,取引日,,4,거래 날짜,,5,Ngày Giao dịch,,9,orderDetail.createDate
"委託異動, 請重新進入","委托异动, 请重新进入",Your order changed. Please re-enter.,,มอบความไว้วางใจในการเคลื่อนไหวที่แตกต่างกันโปรดกลับมาอีกครั้ง,,10,さまざまな動きを委ねてください,,9,다른 움직임을 맡기십시오. 다시 참가하십시오,,12,"Ủy thác chuyển động khác nhau, xin vui lòng nhập lại",,20,orderDetail.orderChanged
撤銷掛單,撤销挂单,Cancel pending order,,,,4,,,4,,,5,,,9,cancelOrderConfirmPopup.title
掛單時間,挂单时间,Creation Time,,,,4,,,4,,,5,,,9,cancelOrderConfirmPopup.orderTime
確定撤銷,确定撤销,Confirm,,,,4,,,4,,,5,,,9,cancelOrderConfirmPopup.confirm
{unit}的{name}價格,{unit}的{name}价格,{name} Price of {unit},,{name} ราคา {unit},,2 + ?,{name} {unit}の価格,,2 + ?,{name} {unit}의 가격,,2 + ?,{name} Giá của {unit},,4 + ?,futuresContract.title
週數,周数,Weeks,,หมายเลขรายสัปดาห์,,2,毎週の番号,,2,주간 번호,,2,Số hàng tuần,,4,futuresContract.tradeTimeWeekend
{start} - 隔日{end},{start} - 隔日{end},{start}-The next day {end},,{start} -วันถัดไป {end},,0 + ?,{start}  - 翌日{end},,0 + ?,{start} -다음 날 {end},,0 + ?,{Start} -the ngày hôm sau {end},,0 + ?,futuresContract.tradeTimeIntervalOutDay
{start} - {end},{start} - {end},{start} - {end},,{start} - {end},,0 + ?,{start} - {end},,0 + ?,{start} - {end},,0 + ?,{start} - {end},,0 + ?,futuresContract.tradeTimeIntervalSameDay
單筆交易數量,单笔交易数量,Volume Per Trade,,จำนวนธุรกรรมเดียว,,7,単一のトランザクションの数,,6,단일 거래 수,,8,Số lượng giao dịch đơn lẻ,,13,futuresContract.transactionLotsTitle
{min}-{max} {unit},{min}-{max} {unit},{min}-{max} {unit},,{min}-{max} {unit},,0 + ?,{min}  -  {max} {unit},,0 + ?,{min}-{max} {unit},,0 + ?,{min}-{max} {unit},,0 + ?,futuresContract.transactionLotsValue
當前槓桿,当前杠杆,Current Leverage,,เลเวอเรจปัจจุบัน,,4,現在のレバレッジ,,4,현재 레버리지,,5,Đòn bẩy hiện tại,,9,futuresContract.currentLever
下單可調節,下单可调节,Orders are adjustable.,,ปรับคำสั่งซื้อ,,5,注文を調整します,,5,순서를 조정하십시오,,7,Điều chỉnh thứ tự,,11,futuresContract.currentLeverValueTip
契約規模,契约规模,Contract Size,,ขนาดสัญญา,,4,契約サイズ,,4,계약 규모,,5,Kích thước hợp đồng,,9,futuresContract.contractSize
最大總持倉數量,最大总持仓数量,Maximum Open Position,,ตำแหน่งสูงสุดของตำแหน่ง,,8,位置の最大総保持,,7,최대 총 포지션 보유,,9,Tổng số vị trí nắm giữ tối đa,,15,futuresContract.maxPositionTitle
收取時間,收取时间,Collection Time,,เวลาในการชาร์จ,,4,充電時間,,4,충전 시간,,5,Thời gian sạc,,9,futuresContract.rolloverTime
當前時段,当前时段,Current Session,,งวดปัจจุบัน,,4,当期,,4,현재 기간,,5,Giai đoạn hiện tại,,9,futuresContract.transactionTimeCurrent
下個時段,下个时段,Next Session,,คราวหน้า,,4,次の時間,,4,다음번,,5,Lần tới,,9,futuresContract.transactionTimeNext
查看更多時段,查看更多时段,View more session,,ดูช่วงเวลาที่มากขึ้น,,7,より多くの期間を表示します,,6,더 많은 시간을보십시오,,8,Xem thêm khoảng thời gian,,13,futuresContract.viewAllTransactionTime
"(匯率波動較大時, 將會進行調整)","(汇率波动较大时, 将会进行调整)",(Adjustments will be made with greater fluctuations in exchange rates. ),,(เมื่ออัตราแลกเปลี่ยนผันผวนมีขนาดใหญ่จะมีการปรับ),,17,（為替レートが大きくなると、調整されます）,,15,(환율 변동이 커지면 조정됩니다),,21,"(Khi tỷ giá hối đoái dao động lớn, nó sẽ được điều chỉnh)",,33,futuresContract.exchangeRateTip
折疊,折叠,Fold,,พับ,,2,折り畳み,,2,겹,,2,nếp gấp,,4,futuresContract.tableValueFold
無限制,无限制,Unrestricted,,,,3,,,3,,,4,,,6,futuresContract.noLimit
您確定要放棄修改嗎？,您确定要放弃修改吗？,Are you sure you want to abandon the modification?,,แน่ใจหรือว่าคุณต้องการที่จะยอมจำนนต่อการแก้ไข?,,11,変更するためにあきらめたいですか？,,10,수정하기 위해 포기하고 싶습니까?,,14,Bạn có chắc là bạn muốn từ bỏ để sửa đổi?,,22,"orderModify.cancelModify,positionModify.cancelModify,chartBollSetting.cancelModify,chartKdjSetting.cancelModify,chartMacdSetting.cancelModify,chartMaSetting.cancelModify,chartRsiSetting.cancelModify,chartWrSetting.cancelModify"
設置止損價格,设置止损价格,Set stop-loss price,,ตั้งค่าหยุดราคาขาดทุน,,7,停止損失価格を設定します,,6,정지 손실 가격을 설정하십시오,,8,Đặt giá dừng,,13,"orderModify.stopLossSubtitle,positionModify.stopLossSubtitle"
設置止盈價格,设置止盈价格,Set take-profit price,,ตั้งราคากำไร,,7,利益価格を設定します,,6,이익 가격을 설정하십시오,,8,Thiết lập giá lợi nhuận,,13,"orderModify.stopProfitSubtitle,positionModify.stopProfitSubtitle"
修改掛單,修改挂单,Modify Order,,แก้ไขคำสั่งแขวน,,4,ハンギングオーダーを変更します,,4,교수형 순서를 수정하십시오,,5,Sửa đổi thứ tự treo,,9,orderModify.appBarTitle
請輸入您的掛單價格,请输入您的挂单价格,Please enter your order price.,,โปรดป้อนราคาคำสั่งซื้อแขวนของคุณ,,10,ハンギングオーダー価格を入力してください,,9,매달린 주문 가격을 입력하십시오,,12,Vui lòng nhập giá đặt hàng treo của bạn,,20,orderModify.accountOrderInputHint
掛單價格須在限制範圍內,挂单价格须在限制范围内,The pending order price must be within the limit.,,,,12,,,11,,,15,,,24,orderModify.errorLimitPriceOutRange
調整保證金,调整保证金,Adjust Margin,,ปรับเงินประกัน,,5,セキュリティデポジットを調整します,,5,보증금을 조정하십시오,,7,Điều chỉnh tiền gửi bảo mật,,11,"adjustmentMarginDescriptionPopup.title,positionModify.adjustMargin"
我知道了,我知道了,I got it.,,เข้าใจแล้ว,,4,そうですか,,4,내가 참조,,5,Tôi thấy,,9,"adjustmentMarginDescriptionPopup.button,receiveAwardPopup.know"
您可為該持倉追加保證金,您可为该持仓追加保证金,You can increase the margin on this open position.,,คุณสามารถเพิ่มหรือลดอัตรากำไรสำหรับตำแหน่งนี้,,12,この位置のマージンを増やすか、削減できます,,11,이 위치의 마진을 늘리거나 줄일 수 있습니다,,15,Bạn có thể tăng hoặc giảm tỷ lệ lợi nhuận cho vị trí này,,24,adjustmentMarginDescriptionPopup.content1
追加保證金，將獲得更安全的,追加保证金，将获得更安全的,"If you increase the margin, you will get safer",,อัตรากำไรขั้นต้นที่เพิ่มขึ้นจะได้รับความปลอดภัยมากขึ้น,,15,マージンの増加はより安全になります,,13,마진이 증가하면 더욱 안전해질 것입니다,,18,Tăng tỷ suất lợi nhuận sẽ trở nên an toàn hơn,,29,adjustmentMarginDescriptionPopup.content2
"提醒：
調整保證金，僅改變持倉風險，不影響訂單交易總額和訂單盈虧。","提醒：
调整保证金，仅改变持仓风险，不影响订单交易总额和订单盈亏。",Reminder: adjustment to margin only changes position risk but does not affect the total amount of transaction orders and the profit or loss of orders.,,"เตือน:
การปรับเงินฝากจะเปลี่ยนความเสี่ยงของตำแหน่งเท่านั้นและไม่ส่งผลกระทบต่อธุรกรรมการสั่งซื้อทั้งหมดและกำไรและขาดทุนจากคำสั่งซื้อ",,37,"思い出させる：
預金を調整すると、ポジションのリスクのみが変化し、注文総取引と注文の損失に影響しません。",,32,"상기시키다:
예금 조정은 직책의 위험 만 변경되며 총 주문 거래 및 주문의 손실에 영향을 미치지 않습니다.",,44,"nhắc lại:
Điều chỉnh tiền gửi chỉ thay đổi rủi ro của các vị trí và không ảnh hưởng đến toàn bộ giao dịch đặt hàng và lợi nhuận và mất đơn đặt hàng.",,72,adjustmentMarginDescriptionPopup.tip
輸入分潤細節搜尋條件,输入分润细节搜寻条件,Enter search criteria for revenue share details,,การแบ่งอินพุตของเงื่อนไขการค้นหารายละเอียดความชุ่มชื้น,,11,保湿の詳細の検索条件の入力部門,,10,보습 세부 사항 검색 조건의 입력 부서,,14,Phân chia đầu vào của các chi tiết dưỡng ẩm điều kiện tìm kiếm,,22,agentProfitSharingSearch.enterDetailSearchHint
請輸入搜尋條件,请输入搜寻条件,Please enter search criteria.,,กรุณากรอกเงื่อนไขการค้นหา,,8,検索条件を入力してください,,7,검색 조건을 입력하십시오,,9,Vui lòng nhập điều kiện tìm kiếm,,15,"agentProfitSharingSearch.pleaseEnterSearchHint,agentUserSearch.pleaseEnterSearchHint,agentReferralCodeSearch.pleaseEnterSearchHint,agentTransactionSettingSearch.pleaseEnterSearchHint,agentFundingDetailsSearch.pleaseEnterSearchHint"
輸入下級用戶清單搜尋條件,输入下级用户清单搜寻条件,Enter search criteria for basic user list,,ป้อนเงื่อนไขการค้นหาสำหรับรายชื่อผู้ใช้ subordinates,,14,部下のユーザーリストの検索条件を入力します,,12,부하 직원 사용자 목록의 검색 조건을 입력하십시오,,16,Nhập điều kiện tìm kiếm cho danh sách người dùng cấp dưới,,27,agentUserSearch.enterDetailSearchHint
搜尋結果,搜寻结果,Search Results,,ผลการค้นหา,,4,の検索結果,,4,검색 결과,,5,Kết quả tìm kiếm,,9,agentUserSearch.searchResultsTitle
輸入推薦碼搜尋條件,输入推荐码搜寻条件,Enter search criteria for referral code,,ป้อนเงื่อนไขการค้นหารหัสที่แนะนำ,,10,推奨コード検索条件を入力します,,9,권장 코드 검색 조건을 입력하십시오,,12,Nhập điều kiện tìm kiếm mã được đề xuất,,20,agentReferralCodeSearch.enterDetailSearchHint
請選擇動作,请选择动作,Please select an action.,,โปรดเลือกการดำเนินการ,,5,アクションを選択してください,,5,조치를 선택하십시오,,7,Vui lòng chọn hành động,,11,agentReferralCodeFunctionPopup.actionsTitle
查看清單,查看清单,View List,,ตรวจสอบรายการ,,4,リストを確認してください,,4,목록을 확인하십시오,,5,Kiểm tra danh sách,,9,agentReferralCodeFunctionPopup.actionsViewListButton
編輯,编辑,Edit,,แก้ไข,,2,編集,,2,편집하다,,2,chỉnh sửa,,4,agentReferralCodeFunctionPopup.editButton
請輸入戶名,请输入户名,Please enter your account name.,,โปรดป้อนชื่อครัวเรือน,,5,世帯名を入力してください,,5,가구 이름을 입력하십시오,,7,Vui lòng nhập tên hộ gia đình,,11,editAgentReferralCode.enterNameHint
編輯推薦碼,编辑推荐码,Edit Referral Code,,แก้ไขรหัสคำแนะนำ,,5,推奨コードを編集します,,5,권장 코드 편집,,7,Chỉnh sửa mã khuyến nghị,,11,editAgentReferralCode.editReferralCodeTitle
新增成功,新增成功,Added successfully,,เพิ่มสำเร็จ,,4,正常に追加されました,,4,성공적으로 추가되었습니다,,5,Thêm thành công,,9,editAgentReferralCode.addSuccess
名稱,名称,Name,,ชื่อ,,2,名前,,2,이름,,2,Tên,,4,editAgentReferralCode.nameTitle
備註,备注,Notes,,ข้อสังเกต,,2,述べる,,2,주목,,2,Nhận xét,,4,editAgentReferralCode.remarkTitle
請輸入備註,请输入备注,Please enter notes.,,กรุณากรอกข้อสังเกต,,5,発言を入力してください,,5,발언을 입력하십시오,,7,Vui lòng nhập nhận xét,,11,editAgentReferralCode.enterNoteHint
儲存,储存,Save,,เก็บ,,2,お店,,2,가게,,2,cửa hàng,,4,"addAgentReferralCodePopup.confirmButton,chartBollSetting.modifyButton,chartKdjSetting.modifyButton,chartMacdSetting.modifyButton,chartMaSetting.modifyButton,chartRsiSetting.modifyButton,chartWrSetting.modifyButton"
尚有資料未填寫,尚有资料未填写,Information not yet completed,,ยังมีข้อมูลที่ยังไม่ได้กรอกข้อมูล,,8,まだ入力されていない情報がまだあります,,7,채워지지 않은 정보가 여전히 있습니다.,,9,Vẫn còn thông tin chưa được điền vào,,15,addAgentReferralCodePopup.emptyTip
編輯點差及手續費,编辑点差及手续费,Edit Spread and Transaction Fee,,แก้ไขคะแนนและค่าธรรมเนียมการจัดการ,,9,ポイントを編集し、手数料を処理します,,8,포인트 및 처리 비용을 편집합니다,,11,Chỉnh sửa điểm và phí xử lý,,18,addAgentReferralCodePopup.editReferralCodeTitle
新增點差及手續費,新增点差及手续费,Add Spread and Transaction Fee,,ความแตกต่างของจุดใหม่และค่าธรรมเนียมการจัดการ,,9,新しいポイントの違いと取り扱い料金,,8,새로운 포인트 차이 및 취급 수수료,,11,Chênh lệch điểm mới và phí xử lý,,18,addAgentReferralCodePopup.addReferralCodeTitle
類別,类别,Category,,หมวดหมู่,,2,カテゴリー,,2,범주,,2,thể loại,,4,addAgentReferralCodePopup.categoryTitle
請選擇類別,请选择类别,Please select a category.,,โปรดเลือกหมวดหมู่,,5,カテゴリを選択してください,,5,범주를 선택하십시오,,7,Vui lòng chọn danh mục,,11,addAgentReferralCodePopup.categoryButtonHint
請選擇品項,请选择品项,Please select an item.,,กรุณาเลือกรายการ,,5,アイテムを選択してください,,5,항목을 선택하십시오,,7,Vui lòng chọn mục,,11,addAgentReferralCodePopup.itemsButtonHint
代號,代号,Symbol,,รหัส,,2,コード,,2,암호,,2,Mã số,,4,addAgentReferralCodePopup.codeNumberTitle
請輸入代號,请输入代号,Please enter a symbol.,,กรุณากรอกรหัส,,5,コードを入力してください,,5,코드를 입력하십시오,,7,Vui lòng nhập mã,,11,addAgentReferralCodePopup.codeButtonHint
調整點差,调整点差,Adjust Spread,,ปรับจุด,,4,ポイントを調整します,,4,포인트를 조정하십시오,,5,Điều chỉnh điểm,,9,addAgentReferralCodePopup.adjustmentSpreadTitle
調整手續費,调整手续费,Adjust Transaction Fee,,ปรับค่าธรรมเนียมการจัดการ,,5,処理料を調整します,,5,취급 수수료를 조정하십시오,,7,Điều chỉnh phí xử lý,,11,addAgentReferralCodePopup.adjustmentFeeTitle
超出手續費範圍,超出手续费范围,Beyond transaction fee limit,,เกินช่วงของค่าธรรมเนียม,,8,料金の範囲を超えて,,7,수수료 범위를 넘어서,,9,Ngoài phạm vi phí,,15,addAgentReferralCodePopup.beyondFeeRangeTip
超出點差範圍,超出点差范围,Beyond spread limit,,เกินความแตกต่างของจุด,,7,ポイントの違いを超えて,,6,포인트 차이를 넘어서,,8,Ngoài sự khác biệt điểm,,13,addAgentReferralCodePopup.overnightRangeTip
輸入交易設定搜尋條件,输入交易设定搜寻条件,Enter search criteria for trading settings,,เงื่อนไขการตั้งค่าการตั้งค่าธุรกรรมอินพุต,,11,入力トランザクション設定検索条件,,10,입력 트랜잭션 설정 검색 조건,,14,Thiết lập giao dịch đầu vào Điều kiện tìm kiếm,,22,agentTransactionSettingSearch.enterDetailSearchHint
輸入搜尋條件,输入搜寻条件,Enter search criteria,,ป้อนเงื่อนไขการค้นหา,,7,検索条件を入力します,,6,검색 조건을 입력하십시오,,8,Nhập điều kiện tìm kiếm,,13,agentFundingDetailsSearch.enterDetailSearchHint
代理條件頁,代理条件页,Terms of Agency Page,,หน้าเงื่อนไขพร็อกซี,,5,プロキシ条件ページ,,5,프록시 조건 페이지,,7,Trang điều kiện proxy,,11,agentCondition.nameDescription
入金返利,入金返利,Deposit Rebate,,การคืนเงิน,,4,リベート,,4,할인,,5,Hạ giá,,9,agentCondition.rebateTitle
交易手數返利,交易手数返利,Rebate on Trading Lots,,การกลับมาของมือธุรกรรม,,7,トランザクションハンドの戻り,,6,거래 손의 반환,,8,Trả lại của tay giao dịch,,13,agentCondition.transactionHandTitle
最低工資,最低工资,Minimum Wage,,ค่าแรงขั้นต่ำ,,4,最低賃金,,4,최저 임금,,5,lương tối thiểu,,9,agentCondition.minimumWageTitle
最低工資獲得條件,最低工资获得条件,Conditions for Obtaining the Minimum Wage,,เงื่อนไขการรับค่าแรงขั้นต่ำ,,9,最低賃金取得条件,,8,최저 임금 인수 조건,,11,Điều kiện mua lương tối thiểu,,18,agentCondition.minimumWageConditionsTitle
交易點差及手續費範圍,交易点差及手续费范围,Spread and Transaction Fee Limit,,จุดธุรกรรมที่ไม่ดีและช่วงของค่าธรรมเนียม,,11,取引ポイントが低く、料金の範囲,,10,거래 지점과 수수료 범위,,14,Điểm giao dịch kém và phạm vi phí,,22,agentCondition.tradingSpreadsHandlingTitle
當前非交易時段,当前非交易时段,Not in trading hours,,ระยะเวลาที่ไม่ใช่การซื้อขายปัจจุบัน,,8,現在の非取引期間,,7,현재 비 트레이딩 기간,,9,Thời gian không hiện tại,,15,"positionModify.errorNotTradingTime,requestError.notTradingTime"
該品項暫時無法交易,该品项暂时无法交易,This item is unavailable for the moment.,,รายการนี้ไม่สามารถซื้อขายได้ในขณะนี้,,10,このアイテムは当分の間取引することはできません,,9,이 항목은 당분간 거래 될 수 없습니다,,12,Mục này không thể được giao dịch trong thời gian,,20,"positionModify.errorFuturesNotTradingTime,requestError.quotaUpdateOutTime"
修改持倉單,修改持仓单,Modify Position Order,,ปรับเปลี่ยนคลังสินค้า,,5,倉庫を変更します,,5,창고를 수정하십시오,,7,Sửa đổi kho,,11,positionModify.appBarTitle
部份單號平倉失敗!,部份单号平仓失败!,Failed to close some orders!,,การชำระบัญชีจำนวนหนึ่งล้มเหลว!,,10,いくつかの単一数の清算が失敗しました！,,9,일부 단일 번호 청산이 실패했습니다!,,12,Một số thanh lý một số không thành công!,,20,positionModify.closeMultiPositionPartialFailTitle
查無此單號,查无此单号,This order no is not found.,,ไม่มีหมายเลขคำสั่งซื้อ,,5,注文番号はありません,,5,주문 번호가 없습니다,,7,Không có số đặt hàng,,11,positionModify.errorClosePositionFindNoSerial
未知錯誤({code}),未知错误({code}),Unknown Error ({code}),,ข้อผิดพลาดที่ไม่รู้จัก ({code}),,7 + ?,不明なエラー（{code}）,,6 + ?,알 수없는 오류 ({code}),,8 + ?,Lỗi không xác định ({code}),,13 + ?,positionModify.errorGeneralCode
調整後預估強平價,调整后预估强平价,Projected Forced Parity after Adjustment,,หลังจากการปรับแล้วคาดว่าจะมีความเท่าเทียมกันอย่างมาก,,9,調整後、それは強いパリティであると推定されます,,8,조정 후 강한 패리티로 추정됩니다.,,11,"Sau khi điều chỉnh, nó được ước tính là tương đương mạnh mẽ",,18,positionModify.adjustedLiquidationPrice
追加,追加,Add,,ส่วนที่เพิ่มเข้าไป,,2,追加,,2,덧셈,,2,phép cộng,,4,positionModify.append
最多可追加,最多可追加,Maximum to be added,,มากที่สุดเพิ่มขึ้น,,5,せいぜい、加算します,,5,기껏해야 추가하십시오,,7,"Nhiều nhất, thêm vào",,11,positionModify.mostAppend
請輸入金額,请输入金额,Please enter an amount.,,กรุณากรอกจำนวนเงิน,,5,金額を入力してください,,5,금액을 입력하십시오,,7,Vui lòng nhập số tiền,,11,"positionModify.adjustMarginHint,paymentBank.paymentPriceTitle"
